SVI Theme: Minority Status & Language; Overall Minority Status & Language (Percentile); NaturalBreaks
Data downloaded on 20-April-2024
County_FIPS,County,State,Diagnosed Diabetes-2018-Percentage,Overall Minority Status & Language-2018-Percentile
19123,Mahaska County,Iowa,8.2,0.3216
19171,Tama County,Iowa,8.2,0.7173
20003,Anderson County,Kansas,8.2,0.0369
20005,Atchison County,Kansas,8.2,0.2939
20123,Mitchell County,Kansas,8.2,0.1016
20129,Morton County,Kansas,8.2,0.8513
21113,Jessamine County,Kentucky,8.2,0.5514
25009,Essex County,Massachusetts,8.2,0.8663
26021,Berrien County,Michigan,8.2,0.6527
26129,Ogemaw County,Michigan,8.2,0.1111
27091,Martin County,Minnesota,8.2,0.2057
27169,Winona County,Minnesota,8.2,0.4008
29045,Clark County,Missouri,8.2,0.2518
29063,Dekalb County,Missouri,8.2,0.2677
29105,Laclede County,Missouri,8.2,0.1127
29149,Oregon County,Missouri,8.2,0.0592
29169,Pulaski County,Missouri,8.2,0.6336
29175,Randolph County,Missouri,8.2,0.163
29223,Wayne County,Missouri,8.2,0.0675
30083,Richland County,Montana,8.2,0.553
31003,Antelope County,Nebraska,8.2,0.3075
31033,Cheyenne County,Nebraska,8.2,0.1882
31053,Dodge County,Nebraska,8.2,0.7393
31119,Madison County,Nebraska,8.2,0.7896
31125,Nance County,Nebraska,8.2,0.0653
36025,Delaware County,New York,8.2,0.4374
37039,Cherokee County,North Carolina,8.2,0.3457
37121,Mitchell County,North Carolina,8.2,0.3976
39055,Geauga County,Ohio,8.2,0.235
40053,Grant County,Oklahoma,8.2,0.2521
40139,Texas County,Oklahoma,8.2,0.9666
41041,Lincoln County,Oregon,8.2,0.4817
42027,Centre County,Pennsylvania,8.2,0.4941
42077,Lehigh County,Pennsylvania,8.2,0.8688
42095,Northampton County,Pennsylvania,8.2,0.7291
46103,Pennington County,South Dakota,8.2,0.4269
47123,Monroe County,Tennessee,8.2,0.2856
48113,Dallas County,Texas,8.2,0.9882
49021,Iron County,Utah,8.2,0.5559
51095,James City County,Virginia,8.2,0.6275
51683,Manassas City,Virginia,8.2,0.971
53035,Kitsap County,Washington,8.2,0.525
55021,Columbia County,Wisconsin,8.2,0.3623
01029,Cleburne County,Alabama,8.3,0.3419
06005,Amador County,California,8.3,0.6192
06045,Mendocino County,California,8.3,0.8841
06085,Santa Clara County,California,8.3,0.9815
09011,New London County,Connecticut,8.3,0.7558
12089,Nassau County,Florida,8.3,0.411
13059,Clarke County,Georgia,8.3,0.8914
16063,Lincoln County,Idaho,8.3,0.8927
16071,Oneida County,Idaho,8.3,0.5072
19059,Dickinson County,Iowa,8.3,0.1929
19083,Hardin County,Iowa,8.3,0.3585
19105,Jones County,Iowa,8.3,0.3356
20041,Dickinson County,Kansas,8.3,0.1242
20109,Logan County,Kansas,8.3,0.3649
20135,Ness County,Kansas,8.3,0.6472
20143,Ottawa County,Kansas,8.3,0.1789
21087,Green County,Kentucky,8.3,0.2381
21179,Nelson County,Kentucky,8.3,0.2229
22063,Livingston Parish,Louisiana,8.3,0.4295
25003,Berkshire County,Massachusetts,8.3,0.5533
25025,Suffolk County,Massachusetts,8.3,0.9656
26039,Crawford County,Michigan,8.3,0.1159
26067,Ionia County,Michigan,8.3,0.2919
27063,Jackson County,Minnesota,8.3,0.34
27073,Lac Qui Parle County,Minnesota,8.3,0.2461
27161,Waseca County,Minnesota,8.3,0.4578
